,accuracy_score,balanced_accuracy_score,precision_score,recall_score,f1_score,type,epoch
0,0.26579270466157073,0.2657927046615708,0.24193811041940708,0.2657927046615708,0.23348570724115003,Training,0
1,0.36959879599192047,0.3695987959919205,0.3476814254291222,0.3695987959919205,0.3454969689676595,Training,1
2,0.43191809576616896,0.43191809576616896,0.40714103390385337,0.43191809576616896,0.4066028923277722,Training,2
3,0.4677016911560854,0.46770169115608534,0.44649146974568915,0.46770169115608534,0.4458285484545867,Training,3
4,0.4918610638045071,0.4918610638045071,0.47353713782498363,0.4918610638045071,0.474569282263627,Training,4
5,0.5094855241791754,0.5094855241791754,0.49134233784499004,0.5094855241791754,0.49271901118400907,Training,5
6,0.5273278149629689,0.5273278149629689,0.5122336277255618,0.5273278149629689,0.5117457543543009,Training,6
7,0.5426353518951246,0.5426353518951246,0.5272371973065431,0.5426353518951246,0.5277772449505636,Training,7
8,0.555051685215256,0.555051685215256,0.5406048732522928,0.555051685215256,0.5412771915059565,Training,8
9,0.56342825458434,0.56342825458434,0.5508906394167321,0.56342825458434,0.5506747860898913,Training,9
10,0.5708740940235257,0.5708740940235256,0.5588579469639167,0.5708740940235256,0.5575049152406975,Training,10
11,0.5802408016159056,0.5802408016159056,0.5679027201414136,0.5802408016159056,0.5675220048003483,Training,11
12,0.5856469563151016,0.5856469563151016,0.5735991112278305,0.5856469563151016,0.5733588536207037,Training,12
13,0.5920630520020594,0.5920630520020597,0.5809465338403658,0.5920630520020597,0.5802443478992751,Training,13
14,0.5998851439660977,0.5998851439660976,0.5902793235330276,0.5998851439660976,0.5896744339065637,Training,14
15,0.6070141391738286,0.6070141391738286,0.5971746255068827,0.6070141391738286,0.5971913105228132,Training,15
16,0.6056279456612143,0.6056279456612143,0.5956428346321899,0.6056279456612143,0.5943211248539908,Training,16
17,0.6128559546912749,0.612855954691275,0.6035835968612477,0.612855954691275,0.6031626883594666,Training,17
18,0.6173115766961068,0.6173115766961068,0.6072172062306181,0.6173115766961068,0.6078223210251359,Training,18
19,0.6217275931720068,0.6217275931720068,0.6139633130528342,0.6217275931720068,0.612624597472502,Training,19
20,0.6260445958255773,0.6260445958255773,0.6186022319717898,0.6260445958255773,0.6174195572727665,Training,20
21,0.627807041863044,0.6278070418630441,0.6198423134152619,0.6278070418630441,0.6198856171964262,Training,21
22,0.634203334785536,0.6342033347855361,0.6281201545243399,0.6342033347855361,0.6258721897250991,Training,22
23,0.6356093310626163,0.6356093310626163,0.6284735257021284,0.6356093310626163,0.6274689770286109,Training,23
24,0.6380054655629926,0.6380054655629925,0.6307998083352421,0.6380054655629925,0.6301421953216019,Training,24
25,0.6424214820388926,0.6424214820388927,0.6359480964782964,0.6424214820388927,0.635239488934996,Training,25
26,0.644045308725098,0.644045308725098,0.6382899447251245,0.644045308725098,0.6369210815130438,Training,26
27,0.6482831003208048,0.6482831003208048,0.6431996768901062,0.6482831003208048,0.6414969583442245,Training,27
28,0.6470157233949859,0.647015723394986,0.6403117842448414,0.647015723394986,0.6399398477905461,Training,28
29,0.6486593528456572,0.6486593528456572,0.6447164810016804,0.6486593528456572,0.6428286305843096,Training,29
30,0.3001672240802676,0.36614348627119175,0.3291080324214329,0.36614348627119175,0.23731153641958522,Validation,0
31,0.4484392419175028,0.45922408381610086,0.3983315819298309,0.45922408381610086,0.3764216980608931,Validation,1
32,0.4668338907469342,0.4692704974810222,0.4209967556078982,0.4692704974810222,0.3840750004853785,Validation,2
33,0.5022296544035675,0.5039378838201845,0.4442904264952848,0.5039378838201845,0.4338612243011467,Validation,3
34,0.48717948717948717,0.5094194285238769,0.451792983794483,0.5094194285238769,0.43536329922103745,Validation,4
35,0.5209030100334449,0.5298851935126151,0.4616055031095225,0.5298851935126151,0.4571344160118626,Validation,5
36,0.5359531772575251,0.5357191500441854,0.471693100804245,0.5357191500441854,0.48137727399348146,Validation,6
37,0.5331661092530657,0.544199124998072,0.48609203919525307,0.544199124998072,0.4864044413604414,Validation,7
38,0.5540691192865106,0.541664392797145,0.5017831973281516,0.541664392797145,0.5048002861454781,Validation,8
39,0.5423634336677815,0.5456533701381033,0.48621319711334887,0.5456533701381033,0.4898909261069428,Validation,9
40,0.5627090301003345,0.5591582385748198,0.4993421568957518,0.5591582385748198,0.5054374679764001,Validation,10
41,0.5746934225195095,0.5618373450751218,0.5170009844376011,0.5618373450751218,0.5269591297779644,Validation,11
42,0.5705128205128205,0.5703783335010074,0.512202509148562,0.5703783335010074,0.5177538082198219,Validation,12
43,0.5674470457079153,0.5796721685140139,0.5034046368634624,0.5796721685140139,0.5115590569234852,Validation,13
44,0.5749721293199554,0.576295412172837,0.5254907338397545,0.576295412172837,0.5382681199546251,Validation,14
45,0.5780379041248607,0.5917010370587567,0.5234505880462764,0.5917010370587567,0.5264050423858239,Validation,15
46,0.5883500557413601,0.5907161249529692,0.5359266016719468,0.5907161249529692,0.5485505460767638,Validation,16
47,0.5816610925306578,0.5948091677034512,0.5242133431852697,0.5948091677034512,0.5353924223823887,Validation,17
48,0.5852842809364549,0.5906342156308392,0.5333904757923005,0.5906342156308392,0.5411844654894933,Validation,18
49,0.5897435897435898,0.5822048879230511,0.5408859881378044,0.5822048879230511,0.5435756291574344,Validation,19
50,0.5972686733556298,0.5966728599153851,0.5426985089436781,0.5966728599153851,0.5509965824521138,Validation,20
51,0.5900222965440357,0.5873077462466532,0.5384002628507566,0.5873077462466532,0.5515037835097207,Validation,21
52,0.5942028985507246,0.6063750075679442,0.5377311173639198,0.6063750075679442,0.5533014398287976,Validation,22
53,0.6034002229654404,0.6067554307758167,0.5560587698037632,0.6067554307758167,0.564845694523071,Validation,23
54,0.592530657748049,0.5958758522026608,0.5379655074195594,0.5958758522026608,0.5502057125973158,Validation,24
55,0.5942028985507246,0.6058379305935035,0.5459468847670663,0.6058379305935035,0.5557218465678319,Validation,25
56,0.5900222965440357,0.5995910067417147,0.532480883035762,0.5995910067417147,0.542984141738977,Validation,26
57,0.6014492753623188,0.6044760491907123,0.5441774478122138,0.6044760491907123,0.5592718252405883,Validation,27
58,0.5997770345596433,0.6032826718025442,0.5510893798917322,0.6032826718025442,0.5675353902463215,Validation,28
59,0.6003344481605352,0.6032772167629247,0.5482192951293171,0.6032772167629247,0.5601605497229969,Validation,29
